"lon","lat","x","y","UE","UN"
-115.41,32.917,6.4868e+05,3.6432e+06,-2.25,4.08
-115.82,33.061,6.1016e+05,3.6587e+06,-20.55,21.08
-115.73,33.07,6.1855e+05,3.6598e+06,-13.32,17.7
-115.61,33.03,6.2981e+05,3.6555e+06,-8.6,11.24
-115.5,33.038,6.4007e+05,3.6565e+06,-7.66,1.82
-115.31,32.091,6.5948e+05,3.5518e+06,-23.45,26.57
-114.93,32.143,6.9524e+05,3.5582e+06,-6.78,9.51
-115.31,32.334,6.5906e+05,3.5787e+06,-18.12,28.24
-114.91,32.251,6.9689e+05,3.5702e+06,-7.7,7.36
-115.31,32.418,6.5891e+05,3.588e+06,-18.72,27.12
-115.07,32.559,6.812e+05,3.604e+06,-5.49,1.16
-115.25,32.629,6.6417e+05,3.6115e+06,-6.92,7.42
-115.06,32.709,6.8183e+05,3.6207e+06,-2.92,2.21
-115.03,32.706,6.8465e+05,3.6204e+06,-2.11,1
-114.7,32.746,7.1549e+05,3.6255e+06,-1.64,1.89
-115.25,32.84,6.6378e+05,3.6349e+06,-3.44,-0.79
-114.81,32.858,7.0493e+05,3.6377e+06,-5.58,1.21
-114.2,32.939,7.6179e+05,3.648e+06,-1.29,-0.37
-114.2,32.939,7.6179e+05,3.648e+06,-0.48,2.54
-117.57,33.375,4.4698e+05,3.693e+06,-26.6,29.55
-117.16,33.332,4.8511e+05,3.6881e+06,-25.68,28.9
-117.25,33.355,4.7674e+05,3.6907e+06,-27.38,27.59
-116.9,33.294,5.0931e+05,3.6839e+06,-25.28,28.11
-116.86,33.357,5.1303e+05,3.6909e+06,-24.62,26.66
-117.63,33.444,4.4144e+05,3.7007e+06,-27.9,30.65
-117.71,33.464,4.3402e+05,3.703e+06,-27.31,30.5
-117.68,33.469,4.3681e+05,3.7035e+06,-26.96,29.42
-117.55,33.448,4.4888e+05,3.7011e+06,-31.97,28.99
-117.73,33.513,4.322e+05,3.7084e+06,-26.66,30.48
-117.73,33.514,4.322e+05,3.7085e+06,-27.05,30.64
-117.72,33.554,4.3316e+05,3.7129e+06,-27.45,30.24
-117.48,33.523,4.5543e+05,3.7094e+06,-27.12,29.18
-117.82,33.602,4.2392e+05,3.7183e+06,-27.54,30.36
-117.81,33.606,4.2485e+05,3.7188e+06,-28.26,29.95
-117.8,33.618,4.2579e+05,3.7201e+06,-25.34,29.02
-117.94,33.662,4.1285e+05,3.7251e+06,-25.07,30.8
-117.61,33.601,4.4341e+05,3.7181e+06,-28.13,27.31
-117.14,33.43,4.8699e+05,3.699e+06,-26.32,27.2
-117.19,33.505,4.8235e+05,3.7073e+06,-24.79,27.83
-116.93,33.468,5.065e+05,3.7032e+06,-23.49,26.69
-116.84,33.484,5.1486e+05,3.705e+06,-23.18,26.85
-116.91,33.524,5.0836e+05,3.7094e+06,-24.01,26.52
-116.74,33.545,5.2414e+05,3.7117e+06,-21.05,25.44
-117.34,33.602,4.6846e+05,3.7181e+06,-25.87,27.06
-117.35,33.62,4.6753e+05,3.7201e+06,-24.7,27.93
-117.09,33.636,4.9165e+05,3.7218e+06,-22.72,26.89
-117.06,33.605,4.9443e+05,3.7184e+06,-24.34,25.76
-116.8,33.562,5.1856e+05,3.7136e+06,-22.78,26.29
-116.93,33.688,5.0649e+05,3.7276e+06,-23.1,24.6
-116.85,33.63,5.1391e+05,3.7211e+06,-21.44,26.05
-116.43,33.177,5.5314e+05,3.6711e+06,-23.29,26.05
-116.53,33.211,5.438e+05,3.6748e+06,-23.96,26.16
-116.69,33.234,5.2888e+05,3.6773e+06,-25.83,26.98
-116.25,33.16,5.6994e+05,3.6693e+06,-22.53,23.99
-116.23,33.257,5.7172e+05,3.68e+06,-19.7,22.96
-116.7,33.382,5.279e+05,3.6937e+06,-24.23,26.91
-116.3,33.296,5.6517e+05,3.6843e+06,-22.23,20.91
-116.13,33.308,5.8099e+05,3.6858e+06,-15.56,17.3
-116.08,33.382,5.8557e+05,3.694e+06,-13.83,16
-115.89,33.177,6.0349e+05,3.6715e+06,-14.21,15.91
-115.92,33.179,6.0069e+05,3.6717e+06,-15.63,18.13
-115.86,33.179,6.0628e+05,3.6717e+06,-14.94,14.1
-115.61,33.196,6.2957e+05,3.6739e+06,-6.8,1.62
-115.41,33.196,6.4821e+05,3.6741e+06,-2.15,2.6
-115.52,33.231,6.379e+05,3.6779e+06,-4.1,1.04
-115.5,33.279,6.3969e+05,3.6832e+06,-3.88,0.72
-115.5,33.279,6.3969e+05,3.6832e+06,-4.51,1.67
-115.79,33.39,6.1254e+05,3.6952e+06,-10.88,9.55
-115.75,33.412,6.1623e+05,3.6977e+06,-9.61,7.85
-115.36,33.355,6.5259e+05,3.6918e+06,-2.1,0.38
-116.7,33.455,5.2788e+05,3.7018e+06,-22.3,25.99
-116.7,33.543,5.2785e+05,3.7115e+06,-20.87,24.58
-116.72,33.55,5.2599e+05,3.7123e+06,-21.02,25.49
-116.59,33.527,5.3807e+05,3.7098e+06,-19.38,23.58
-116.61,33.55,5.362e+05,3.7123e+06,-18.32,23.26
-116.57,33.553,5.3992e+05,3.7127e+06,-17.93,21.1
-116.57,33.553,5.3992e+05,3.7127e+06,-18.15,21.77
-116.43,33.524,5.5293e+05,3.7095e+06,-17.18,17.85
-116.43,33.524,5.5293e+05,3.7095e+06,-17.1,18.76
-116.06,33.441,5.8737e+05,3.7006e+06,-11.44,16.57
-116.19,33.524,5.7522e+05,3.7097e+06,-12.74,16.2
-116.69,33.555,5.2878e+05,3.7129e+06,-20.15,25.14
-116.66,33.556,5.3156e+05,3.713e+06,-17.78,26.5
-116.66,33.556,5.3156e+05,3.713e+06,-19.97,24.51
-116.63,33.557,5.3435e+05,3.7131e+06,-19.72,24.54
-116.63,33.558,5.3434e+05,3.7132e+06,-19.12,23.67
-116.6,33.565,5.3713e+05,3.714e+06,-18.94,23.12
-116.59,33.567,5.3805e+05,3.7142e+06,-18.58,23.3
-116.6,33.568,5.3713e+05,3.7143e+06,-17.91,22.58
-116.57,33.561,5.3991e+05,3.7136e+06,-17.94,19.91
-116.56,33.562,5.4084e+05,3.7137e+06,-16.3,22.26
-116.58,33.565,5.3898e+05,3.714e+06,-19.34,22.09
-116.58,33.564,5.3898e+05,3.7139e+06,-19.22,21.83
-116.65,33.599,5.3247e+05,3.7178e+06,-21.01,22.19
-116.68,33.619,5.2968e+05,3.72e+06,-18.32,21.93
-116.68,33.619,5.2968e+05,3.72e+06,-18.27,22.92
