"lon","lat","x","y"
-124.97,41.743,-1.6295e+05,4.652e+06
NaN,NaN,NaN,NaN
-124.91,41.753,-1.5785e+05,4.6527e+06
-124.91,41.742,-1.5796e+05,4.6515e+06
NaN,NaN,NaN,NaN
-124.37,41.773,-1.1272e+05,4.6509e+06
-124.36,41.768,-1.1194e+05,4.6503e+06
-124.36,41.763,-1.1198e+05,4.6497e+06
NaN,NaN,NaN,NaN
-124.94,41.738,-1.605e+05,4.6513e+06
-124.94,41.731,-1.6057e+05,4.6505e+06
-124.94,41.724,-1.6065e+05,4.6497e+06
NaN,NaN,NaN,NaN
-124.35,41.76,-1.1118e+05,4.6493e+06
-124.34,41.751,-1.1043e+05,4.6482e+06
NaN,NaN,NaN,NaN
-124.91,41.737,-1.5801e+05,4.6509e+06
-124.91,41.73,-1.5809e+05,4.6501e+06
-124.91,41.727,-1.5812e+05,4.6498e+06
NaN,NaN,NaN,NaN
-124.34,41.748,-1.1046e+05,4.6479e+06
-124.33,41.738,-1.0973e+05,4.6467e+06
NaN,NaN,NaN,NaN
-124.92,41.723,-1.5899e+05,4.6494e+06
-124.92,41.719,-1.5903e+05,4.649e+06
-124.92,41.712,-1.591e+05,4.6482e+06
NaN,NaN,NaN,NaN
-124.94,41.719,-1.607e+05,4.6491e+06
-124.94,41.709,-1.608e+05,4.648e+06
NaN,NaN,NaN,NaN
-124.33,41.734,-1.0976e+05,4.6463e+06
-124.32,41.725,-1.0902e+05,4.6452e+06
NaN,NaN,NaN,NaN
-124.92,41.708,-1.5915e+05,4.6478e+06
-124.92,41.697,-1.5926e+05,4.6465e+06
NaN,NaN,NaN,NaN
-124.94,41.704,-1.6085e+05,4.6475e+06
-124.95,41.694,-1.6179e+05,4.6464e+06
NaN,NaN,NaN,NaN
-124.32,41.721,-1.0905e+05,4.6448e+06
-124.31,41.712,-1.0831e+05,4.6437e+06
NaN,NaN,NaN,NaN
-124.92,41.692,-1.5931e+05,4.646e+06
-124.92,41.679,-1.5944e+05,4.6445e+06
NaN,NaN,NaN,NaN
-125.16,41.681,-1.7942e+05,4.6466e+06
-125.15,41.669,-1.7871e+05,4.6452e+06
-125.15,41.667,-1.7874e+05,4.645e+06
-125.15,41.664,-1.7877e+05,4.6447e+06
-125.14,41.644,-1.7814e+05,4.6424e+06
-125.13,41.634,-1.7742e+05,4.6412e+06
-125.13,41.624,-1.7752e+05,4.6401e+06
-125.12,41.614,-1.7679e+05,4.6389e+06
-125.12,41.604,-1.769e+05,4.6378e+06
-125.11,41.59,-1.7621e+05,4.6361e+06
-125.1,41.576,-1.7552e+05,4.6345e+06
-125.1,41.568,-1.7561e+05,4.6336e+06
-125.09,41.56,-1.7486e+05,4.6326e+06
-125.09,41.556,-1.749e+05,4.6322e+06
-125.08,41.529,-1.7435e+05,4.6291e+06
-125.08,41.522,-1.7442e+05,4.6283e+06
-125.07,41.513,-1.7368e+05,4.6273e+06
-125.07,41.498,-1.7384e+05,4.6256e+06
-125.06,41.483,-1.7316e+05,4.6239e+06
-125.06,41.48,-1.7319e+05,4.6235e+06
-125.06,41.471,-1.7328e+05,4.6225e+06
-125.05,41.458,-1.7258e+05,4.621e+06
-125.05,41.448,-1.7268e+05,4.6199e+06
-125.05,41.448,-1.7268e+05,4.6199e+06
NaN,NaN,NaN,NaN
-124.95,41.689,-1.6184e+05,4.6459e+06
-124.95,41.68,-1.6193e+05,4.6449e+06
-124.95,41.679,-1.6194e+05,4.6448e+06
NaN,NaN,NaN,NaN
-124.31,41.707,-1.0836e+05,4.6431e+06
-124.3,41.699,-1.076e+05,4.6422e+06
NaN,NaN,NaN,NaN
-125.17,41.671,-1.8036e+05,4.6456e+06
-125.17,41.661,-1.8047e+05,4.6445e+06
-125.17,41.655,-1.8053e+05,4.6438e+06
-125.17,41.648,-1.806e+05,4.6431e+06
-125.16,41.63,-1.7996e+05,4.641e+06
-125.16,41.617,-1.801e+05,4.6395e+06
-125.16,41.615,-1.8012e+05,4.6393e+06
-125.15,41.609,-1.7935e+05,4.6386e+06
-125.15,41.607,-1.7937e+05,4.6383e+06
-125.15,41.602,-1.7942e+05,4.6378e+06
-125.15,41.591,-1.7954e+05,4.6366e+06
-125.15,41.59,-1.7955e+05,4.6365e+06
-125.15,41.583,-1.7962e+05,4.6357e+06
-125.14,41.571,-1.7892e+05,4.6343e+06
-125.14,41.566,-1.7897e+05,4.6337e+06
-125.13,41.55,-1.783e+05,4.6318e+06
-125.13,41.527,-1.7854e+05,4.6293e+06
-125.12,41.52,-1.7778e+05,4.6284e+06
-125.12,41.509,-1.779e+05,4.6272e+06
-125.12,41.496,-1.7803e+05,4.6258e+06
-125.11,41.488,-1.7728e+05,4.6248e+06
-125.11,41.482,-1.7735e+05,4.6241e+06
-125.11,41.478,-1.7739e+05,4.6237e+06
-125.11,41.474,-1.7743e+05,4.6232e+06
-125.11,41.47,-1.7747e+05,4.6228e+06
-125.1,41.457,-1.7677e+05,4.6213e+06
-125.1,41.442,-1.7693e+05,4.6196e+06
-125.09,41.431,-1.7621e+05,4.6183e+06
-125.09,41.419,-1.7633e+05,4.617e+06
-125.08,41.406,-1.7563e+05,4.6154e+06
-125.08,41.397,-1.7573e+05,4.6144e+06
-125.08,41.388,-1.7582e+05,4.6134e+06
-125.07,41.375,-1.7512e+05,4.6119e+06
-125.07,41.357,-1.7531e+05,4.6099e+06
-125.07,41.342,-1.7546e+05,4.6083e+06
-125.07,41.337,-1.7551e+05,4.6077e+06
-125.06,41.319,-1.7486e+05,4.6056e+06
-125.06,41.303,-1.7503e+05,4.6038e+06
-125.05,41.276,-1.7447e+05,4.6008e+06
-125.05,41.267,-1.7457e+05,4.5998e+06
-125.05,41.261,-1.7463e+05,4.5991e+06
-125.05,41.253,-1.7471e+05,4.5982e+06
NaN,NaN,NaN,NaN
-124.95,41.674,-1.6199e+05,4.6442e+06
-124.96,41.663,-1.6294e+05,4.6431e+06
NaN,NaN,NaN,NaN
-124.92,41.674,-1.5949e+05,4.644e+06
-124.92,41.663,-1.5961e+05,4.6428e+06
NaN,NaN,NaN,NaN
-124.84,41.677,-1.528e+05,4.6437e+06
-124.83,41.666,-1.5208e+05,4.6424e+06
-124.83,41.663,-1.5211e+05,4.6421e+06
NaN,NaN,NaN,NaN
-124.3,41.694,-1.0765e+05,4.6416e+06
-124.29,41.685,-1.069e+05,4.6406e+06
NaN,NaN,NaN,NaN
-124.96,41.659,-1.6298e+05,4.6426e+06
-124.96,41.648,-1.631e+05,4.6414e+06
-124.96,41.642,-1.6316e+05,4.6407e+06
NaN,NaN,NaN,NaN
-124.92,41.659,-1.5965e+05,4.6423e+06
-124.92,41.652,-1.5972e+05,4.6415e+06
-124.91,41.648,-1.5893e+05,4.641e+06
NaN,NaN,NaN,NaN
-124.29,41.681,-1.0694e+05,4.6401e+06
-124.28,41.672,-1.0619e+05,4.639e+06
NaN,NaN,NaN,NaN
-124.83,41.659,-1.5215e+05,4.6416e+06
-124.82,41.65,-1.5141e+05,4.6406e+06
-124.82,41.647,-1.5144e+05,4.6402e+06
NaN,NaN,NaN,NaN
-124.28,41.668,-1.0623e+05,4.6386e+06
-124.27,41.663,-1.0544e+05,4.638e+06
-124.27,41.659,-1.0548e+05,4.6375e+06
NaN,NaN,NaN,NaN
-124.91,41.643,-1.5898e+05,4.6405e+06
-124.91,41.633,-1.5908e+05,4.6394e+06
NaN,NaN,NaN,NaN
-124.26,41.656,-1.0467e+05,4.6371e+06
-124.25,41.648,-1.0391e+05,4.6362e+06
-124.25,41.645,-1.0394e+05,4.6358e+06
NaN,NaN,NaN,NaN
-124.91,41.629,-1.5912e+05,4.6389e+06
-124.91,41.62,-1.5922e+05,4.6379e+06
-124.91,41.618,-1.5924e+05,4.6377e+06
NaN,NaN,NaN,NaN
-124.24,41.642,-1.0314e+05,4.6354e+06
-124.24,41.636,-1.0319e+05,4.6348e+06
-124.24,41.633,-1.0322e+05,4.6344e+06
NaN,NaN,NaN,NaN
-124.9,41.613,-1.5845e+05,4.6371e+06
-124.9,41.601,-1.5858e+05,4.6357e+06
NaN,NaN,NaN,NaN
-124.23,41.629,-1.0242e+05,4.6339e+06
-124.23,41.619,-1.0252e+05,4.6328e+06
-124.23,41.618,-1.0253e+05,4.6327e+06
NaN,NaN,NaN,NaN
-124.22,41.614,-1.0173e+05,4.6322e+06
-124.22,41.605,-1.0182e+05,4.6312e+06
NaN,NaN,NaN,NaN
-124.21,41.601,-1.0102e+05,4.6307e+06
-124.21,41.591,-1.0111e+05,4.6295e+06
NaN,NaN,NaN,NaN
-124.21,41.586,-1.0116e+05,4.629e+06
-124.2,41.577,-1.0041e+05,4.6279e+06
NaN,NaN,NaN,NaN
-124.9,41.55,-1.591e+05,4.6301e+06
-124.89,41.535,-1.5842e+05,4.6283e+06
NaN,NaN,NaN,NaN
-124.2,41.574,-1.0044e+05,4.6276e+06
-124.19,41.565,-99685,4.6265e+06
NaN,NaN,NaN,NaN
-124.18,41.56,-98897,4.6259e+06
-124.18,41.551,-98981,4.6249e+06
NaN,NaN,NaN,NaN
-124.89,41.531,-1.5846e+05,4.6279e+06
-124.88,41.521,-1.5772e+05,4.6267e+06
NaN,NaN,NaN,NaN
-124.17,41.546,-98192,4.6243e+06
-124.17,41.537,-98276,4.6233e+06
NaN,NaN,NaN,NaN
-124.88,41.517,-1.5777e+05,4.6262e+06
-124.88,41.513,-1.5781e+05,4.6258e+06
-124.87,41.508,-1.5702e+05,4.6252e+06
NaN,NaN,NaN,NaN
-124.17,41.532,-98322,4.6227e+06
-124.16,41.523,-97570,4.6216e+06
NaN,NaN,NaN,NaN
-124.87,41.503,-1.5707e+05,4.6246e+06
-124.86,41.495,-1.5632e+05,4.6236e+06
NaN,NaN,NaN,NaN
-124.97,41.492,-1.6554e+05,4.6241e+06
-124.97,41.482,-1.6564e+05,4.623e+06
-124.97,41.48,-1.6566e+05,4.6228e+06
NaN,NaN,NaN,NaN
-124.16,41.519,-97607,4.6212e+06
-124.15,41.509,-96864,4.62e+06
NaN,NaN,NaN,NaN
-124.86,41.491,-1.5636e+05,4.6232e+06
-124.85,41.481,-1.5562e+05,4.622e+06
NaN,NaN,NaN,NaN
-124.97,41.475,-1.6572e+05,4.6223e+06
-124.97,41.465,-1.6582e+05,4.6211e+06
NaN,NaN,NaN,NaN
-124.15,41.505,-96901,4.6196e+06
